Month,Category,Transcation,Cost
APRL,Travel,Seattle,400
APRL,Shopping,Winco,300
APRL,Shopping,Target,200
APRL,Shopping,Fredmeyer,100
APRL,Grocery,Winco,100
APRL,Grocery,Winco,100
APRL,Grocery,Winco,100
APRL,Grocery,Winco,100
APRL,Entertainment,Movie Theater,80
APRL,Donation,Good Will,70
APRL,Shopping,Walmart,50
APRL,Dinning,Noodles & co,50
APRL,Gifts,Birthday party,50
APRL,Shopping,Macy's,40
APRL,Grocery,New Seasons,30
APRL,Dinning,Olive Garden,20
APRL,Shopping,Ross,10
APRL,Education,Coursera,10
