Month,Category,Transcation,Cost
AUG,Travel,California,2000
AUG,Grocery,Winco,700
AUG,Grocery,Winco,600
AUG,Shopping,Macy's,400
AUG,Shopping,Winco,200
AUG,Shopping,Target,200
AUG,Grocery,Winco,200
AUG,Gifts,Birthday party,200
AUG,Dinning,Olive Garden,150
AUG,Shopping,Fredmeyer,100
AUG,Shopping,Walmart,100
AUG,Grocery,Winco,100
AUG,Gifts,Birthday party,100
AUG,Entertainment,Movie Theater,70
AUG,Donation,Good Will,70
AUG,Shopping,Ross,60
AUG,Grocery,New Seasons,50
AUG,Education,Coursera,25
