Month,Category,Transcation,Cost
FEB,Grocery,Winco,700
FEB,Grocery,Winco,600
FEB,Shopping,Macy's,400
FEB,Shopping,Winco,200
FEB,Shopping,Target,200
FEB,Grocery,Winco,200
FEB,Gifts,Birthday party,200
FEB,Dinning,Olive Garden,150
FEB,Shopping,Fredmeyer,100
FEB,Shopping,Walmart,100
FEB,Grocery,Winco,100
FEB,Gifts,Birthday party,100
FEB,Entertainment,Movie Theater,70
FEB,Donation,Good Will,70
FEB,Shopping,Ross,60
FEB,Grocery,New Seasons,50
FEB,Education,Coursera,25
FEB,Travel,State park,10
