Month,Category,Transcation,Cost
OCT,Shopping,Target,300
OCT,Dinning,Olive Garden,300
OCT,Shopping,Fredmeyer,200
OCT,Dinning,Noodles & co,200
OCT,Grocery,Winco,200
OCT,Gifts,Birthday party,200
OCT,Shopping,Winco,130
OCT,Grocery,New Seasons,100
OCT,Travel,State park,100
OCT,Gifts,Birthday party,100
OCT,Grocery,Winco,80
OCT,Donation,Good Will,80
OCT,Entertainment,Movie Theater,70
OCT,Donation,Good Will,70
OCT,Shopping,Ross,60
OCT,Entertainment,Movie Theater,59
OCT,Education,Coursera,25
